Year,Close
2011,9391.963709677419
2012,9563.052419354839
2013,10193.19028340081
2014,10422.771428571428
2015,12623.443548387097
2016,11112.020325203252
2017,13371.56378600823
2018,14804.668032786885
2019,15081.369918699187
2020,14895.504032258064
2021,15482.040322580646
2022,13131.382113821139
2023,13002.497959183673
2024,14263.602459016394
2025,20005.096153846152
