Month,Close,Volume
1,19769.2,233722
2,19453.55,107845
3,19531.31818181818,106135
4,20608.7,166627
5,21994.78947368421,172913
6,23558.904761904763,603435
7,24915.238095238095,737294
8,23891.272727272728,478893
9,25410.47619047619,528826
10,26250.875,240533
11,27039.81818181818,321424
12,25847.842105263157,268225
