Year,Close
2011,18397.935483870966
2012,18438.229838709678
2013,17525.78947368421
2014,17793.82448979592
2015,14586.548387096775
2016,14835.256097560976
2017,14737.444444444445
2018,13039.475409836066
2019,13235.142276422765
2020,12666.58064516129
2021,21280.72177419355
2022,16965.560975609755
2023,17518.020408163266
2024,19689.10655737705
2025,18384.423076923078
