,Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
303,079160,KR7079160008,CJ CGV,KOSPI,,4815,2,-10,-0.21,4810,4845,4800,141275,680666396,797268971160,165580264,STK
304,004800,KR7004800009,효성,KOSPI,,47500,2,-1150,-2.36,48750,48750,47250,19579,933563325,795169332500,16740407,STK
305,192400,KR7192400000,쿠쿠홀딩스,KOSPI,,22250,1,150,0.68,22100,22300,21900,3933,86961500,791258616250,35562185,STK
306,484870,KR7484870001,엠앤씨솔루션,KOSPI,,85200,1,4700,5.84,77000,86600,76700,153437,12729962500,779912280000,9153900,STK
307,017960,KR7017960006,한국카본,KOSPI,,14910,1,90,0.61,14530,15000,14510,423587,6258339810,773955019320,51908452,STK
308,281820,KR7281820001,케이씨텍,KOSPI,,37100,2,-750,-1.98,38000,38400,37100,52506,1980908075,767610983300,20690323,STK
309,101490,KR7101490001,에스앤에스텍,KOSDAQ,우량기업부,35700,1,300,0.85,35250,36600,34900,127443,4565793350,765816657900,21451447,KSQ
310,222800,KR7222800005,심텍,KOSDAQ GLOBAL,우량기업부,23750,1,1600,7.22,22550,24200,22500,1978357,46337462550,756535896250,31854143,KSQ
311,006120,KR7006120000,SK디스커버리,KOSPI,,40000,2,-150,-0.37,39850,40200,39750,6827,272927850,751434200000,18785855,STK
312,214320,KR7214320004,이노션,KOSPI,,18730,2,-20,-0.11,18720,18790,18630,353838,6213471725,749200000000,40000000,STK
313,003530,KR7003530003,한화투자증권,KOSPI,,3480,2,-10,-0.29,3455,3490,3425,377312,1301585730,746626257000,214547775,STK
314,226950,KR7226950004,올릭스,KOSDAQ,기술성장기업부,40050,2,-500,-1.23,39550,40950,39300,420551,16901402825,746052000750,18628015,KSQ
315,268280,KR7268280005,미원에스씨,KOSPI,,149100,2,-1000,-0.67,148300,149900,148300,71,10601600,745500000000,5000000,STK
316,003620,KR7003620002,KG모빌리티,KOSPI,,3790,2,-110,-2.82,3880,3900,3740,239527,905096999,744372122660,196404254,STK
317,056190,KR7056190002,에스에프에이,KOSDAQ GLOBAL,우량기업부,20700,1,250,1.22,20550,20900,20450,75165,1558481450,743311332000,35908760,KSQ
318,079900,KR7079900007,전진건설로봇,KOSPI,,50700,2,-800,-1.55,51100,51400,49375,149566,7506146425,739842031500,14592545,STK
319,033500,KR7033500000,동성화인텍,KOSDAQ,우량기업부,24650,1,1000,4.23,23050,24650,23050,439362,10542247025,739241027100,29989494,KSQ
320,166090,KR7166090001,하나머티리얼즈,KOSDAQ GLOBAL,우량기업부,37350,1,500,1.36,36900,39050,36500,235963,9023716275,738696123900,19777674,KSQ
321,014620,KR7014620009,성광벤드,KOSDAQ,우량기업부,26300,1,550,2.14,25400,26400,25350,249793,6477537475,734520786100,27928547,KSQ
322,213420,KR7213420003,덕산네오룩스,KOSDAQ GLOBAL,우량기업부,29550,2,-600,-1.99,30450,30500,29450,62034,1856744800,733761339450,24831179,KSQ
323,030610,KR7030610000,교보증권,KOSPI,,6420,2,-110,-1.68,6530,6530,6400,164931,1060576280,731642209620,113962961,STK
324,025540,KR7025540006,한국단자,KOSPI,,70200,2,-200,-0.28,70000,71000,69600,28100,1981896350,731133000000,10415000,STK
325,067630,KR7067630004,HLB생명과학,KOSDAQ,투자주의환기종목(소속부없음),5990,5,-2560,-29.94,5990,6480,5990,7851460,47845852135,730131229090,121891691,KSQ
326,285130,KR7285130001,SK케미칼,KOSPI,,42250,2,-300,-0.71,42300,42600,41650,25009,1050018150,728972331750,17253783,STK
327,030190,KR7030190003,NICE평가정보,KOSPI,,12220,1,70,0.58,12190,12310,12090,27566,337778040,727170566460,59506593,STK
328,000210,KR7000210005,DL,KOSPI,,34600,2,-550,-1.56,35250,35250,34300,36782,1272779050,725073586400,20955884,STK
329,293940,KR7293940003,신한알파리츠,KOSPI,,5970,2,-60,-1.0,6030,6120,5940,120666,721505570,722012534310,120940123,STK
330,950210,KR8702070002,프레스티지바이오파마,KOSPI,,11900,2,-680,-5.41,12220,12570,11460,143560,1707475655,715144244500,60096155,STK
331,002710,KR7002710002,TCC스틸,KOSPI,,27200,2,-50,-0.18,27250,27900,26000,211346,5721633250,713012558400,26213697,STK
332,008730,KR7008730004,율촌화학,KOSPI,,28750,1,200,0.7,28000,29000,27650,28736,816636575,713000000000,24800000,STK
333,058970,KR7058970005,엠로,KOSDAQ,기술성장기업부,58300,1,600,1.04,58100,59800,57700,58846,3447514550,711924095300,12211391,KSQ
334,005420,KR7005420005,코스모화학,KOSPI,,18520,2,-380,-2.01,18750,18890,18220,89870,1655507805,711320382560,38408228,STK
335,001430,KR7001430008,세아베스틸지주,KOSPI,,19670,2,-80,-0.41,19750,19790,19270,49026,956726320,705407880730,35862119,STK
336,388720,KR7388720005,유일로보틱스,KOSDAQ,벤처기업부,61300,2,-1700,-2.7,63000,63500,60800,125980,7793686050,703909493800,11483026,KSQ
337,025320,KR7025320003,시노펙스,KOSDAQ,우량기업부,7880,1,50,0.64,7790,8130,7790,4631512,36893998470,693373571600,87991570,KSQ
338,005690,KR7005690003,파미셀,KOSPI,,11540,2,-80,-0.69,11490,11720,11320,443070,5098901600,692595764560,60016964,STK
339,036830,KR7036830008,솔브레인홀딩스,KOSDAQ GLOBAL,우량기업부,32950,1,500,1.54,32450,33350,31850,45054,1468705275,690765645200,20964056,KSQ
340,451800,KR7451800007,한화리츠,KOSPI,,3840,1,30,0.79,3805,3840,3780,204052,778249199,689664000000,179600000,STK
341,145720,KR7145720009,덴티움,KOSPI,,61900,1,300,0.49,60800,61900,60700,8835,540077500,685160577000,11068830,STK
342,440110,KR7440110005,파두,KOSDAQ,기술성장기업부,13800,2,-20,-0.14,13940,13940,13520,63928,874123135,681839963400,49408693,KSQ
