Year,Close
2011,10538.135135135135
2012,11510.310483870968
2013,12462.267206477733
2014,14131.224489795919
2015,13271.552419354839
2016,13054.60162601626
2017,19204.506172839505
2018,20518.495901639344
2019,19789.524390243903
2020,23980.850806451614
2021,36643.657258064515
2022,29509.447154471545
2023,30487.755102040817
2024,31914.004098360656
2025,27637.53846153846
