,Month,Close,Close_norm,SectorCode
0,1,15300.15,0.8862296929547264,automobile
1,2,14512.4,0.4314961928585177,automobile
2,3,14536.272727272728,0.4452768705222054,automobile
3,4,13879.75,0.0662951153137811,automobile
4,5,15087.578947368422,0.7635217541641295,automobile
5,6,15497.238095238095,1.0,automobile
6,7,14905.857142857143,0.6586217323180962,automobile
7,8,14731.818181818182,0.5581566788032063,automobile
8,9,13764.90476190476,0.0,automobile
9,10,14694.375,0.5365423733472613,automobile
10,11,15113.09090909091,0.7782486899285059,automobile
11,12,14824.473684210529,0.6116426336188767,automobile
12,1,5060.9,0.0,bank
13,2,5321.7,0.1644378972950975,bank
14,3,5487.954545454545,0.2692636176566681,bank
15,4,5468.7,0.257123368546552,bank
16,5,5880.052631578948,0.5164867189439722,bank
17,6,6121.238095238095,0.668557388047704,bank
18,7,6574.238095238095,0.9541799627205536,bank
19,8,6646.909090909091,1.0,bank
20,9,6242.380952380952,0.7449395839867062,bank
21,10,6375.0,0.8285576719152131,bank
22,11,6157.954545454545,0.6917076022721408,bank
23,12,6349.789473684211,0.8126620970031307,bank
24,1,19769.2,0.041608072959576,data
25,2,19453.55,0.0,data
26,3,19531.31818181818,0.0102511775163137,data
27,4,20608.7,0.1522685426239637,data
28,5,21994.78947368421,0.3349788608547659,data
29,6,23558.904761904763,0.5411560286972144,data
30,7,24915.23809523809,0.7199439782959405,data
31,8,23891.272727272728,0.5849678156525638,data
32,9,25410.47619047619,0.7852248362051064,data
33,10,26250.875,0.8960037843495936,data
34,11,27039.81818181818,1.0,data
35,12,25847.84210526316,0.8428771501366378,data
36,1,12179.3,0.0,energy
37,2,12330.1,0.0529136309698496,energy
38,3,12337.09090909091,0.0553666441248904,energy
39,4,12329.4,0.052668010666939,energy
40,5,12545.421052631578,0.1284668054989399,energy
41,6,12879.857142857143,0.2458157966209211,energy
42,7,13255.57142857143,0.3776487347136683,energy
43,8,13942.545454545454,0.6186984037870186,energy
44,9,14339.619047619048,0.7580260269419804,energy
45,10,14877.0,0.9465855588021388,energy
46,11,15029.227272727272,1.0,energy
47,12,14597.263157894737,0.848429776097703,energy
48,1,15596.5,0.0,essential
49,2,16013.0,0.0588896886809429,essential
50,3,16617.863636363636,0.1444124527622817,essential
51,4,17112.05,0.2142863569757576,essential
52,5,18474.36842105263,0.4069070237227039,essential
53,6,19720.14285714286,0.5830493255427059,essential
54,7,20133.19047619048,0.6414508758335083,essential
55,8,19477.68181818182,0.548767320496671,essential
56,9,21039.0,0.7695249235198847,essential
57,10,22093.6875,0.9186490976631788,essential
58,11,22669.045454545456,1.0,essential
59,12,21904.84210526316,0.891947905574626,essential
60,1,23198.05,0.0596339822795719,healthcare
61,2,22949.3,0.040070106514487,healthcare
62,3,22439.81818181818,0.0,healthcare
63,4,23337.8,0.0706251446440768,healthcare
64,5,24414.84210526316,0.1553331564677308,healthcare
65,6,26489.28571428572,0.3184855466128227,healthcare
66,7,26302.04761904762,0.3037595050701921,healthcare
67,8,25724.5,0.2583361086180588,healthcare
68,9,27466.14285714286,0.3953141366956078,healthcare
69,10,30385.5,0.6249179174263422,healthcare
70,11,34713.13636363636,0.9652810940078308,healthcare
71,12,35154.57894736842,1.0,healthcare
72,3,9230.75,0.1201556686598128,media
73,4,9405.15,0.2465093032588199,media
74,5,10374.368421052632,0.9487126875495946,media
75,6,10399.57142857143,0.9669723871070842,media
76,7,9853.142857142857,0.5710822721486931,media
77,8,9680.727272727272,0.4461663561371041,media
78,9,9064.90476190476,0.0,media
79,10,9608.625,0.3939279144975416,media
80,11,10350.954545454546,0.9317492226306316,media
81,12,10445.157894736842,1.0,media
82,1,19769.2,0.041608072959576,semiconduct
83,2,19453.55,0.0,semiconduct
84,3,19531.31818181818,0.0102511775163137,semiconduct
85,4,20608.7,0.1522685426239637,semiconduct
86,5,21994.78947368421,0.3349788608547659,semiconduct
87,6,23558.904761904763,0.5411560286972144,semiconduct
88,7,24915.23809523809,0.7199439782959405,semiconduct
89,8,23891.272727272728,0.5849678156525638,semiconduct
90,9,25410.47619047619,0.7852248362051064,semiconduct
91,10,26250.875,0.8960037843495936,semiconduct
92,11,27039.81818181818,1.0,semiconduct
93,12,25847.84210526316,0.8428771501366378,semiconduct
94,1,8468.5,0.3043748704126061,steel
95,2,8440.15,0.2847812564793692,steel
96,3,8357.90909090909,0.2279418694513026,steel
97,4,8028.1,0.0,steel
98,5,8237.21052631579,0.1445231365787475,steel
99,6,8462.809523809523,0.3004419958597848,steel
100,7,9233.52380952381,0.8331078924070835,steel
101,8,9475.0,1.0,steel
102,9,8978.666666666666,0.6569677701753168,steel
103,10,9085.125,0.7305446126200843,steel
104,11,8867.954545454546,0.5804509955453354,steel
105,12,8865.421052631578,0.5787000156414251,steel
