Month,Close,Volume
3,9230.75,82
4,9405.15,1486
5,10374.368421052632,18022
6,10399.57142857143,75335
7,9853.142857142857,16257
8,9680.727272727272,16048
9,9064.904761904761,34983
10,9608.625,17937
11,10350.954545454546,1930942
12,10445.157894736842,38774
