Year,Close
2011,14574.076612903225
2012,14366.592741935483
2013,15750.696356275304
2014,16923.473469387754
2015,17158.86693548387
2016,16966.89024390244
2017,23158.037037037036
2018,23048.217213114753
2019,20467.38211382114
2020,25500.34677419355
2021,35673.86693548387
2022,29764.085365853658
2023,30190.155102040815
2024,36588.24180327869
2025,33108.75
