,Month,Close,Volume,Close_norm
0,1,8468.5,171816,0.3043748704126061
1,2,8440.15,195329,0.28478125647936925
2,3,8357.90909090909,2072984,0.22794186945130265
3,4,8028.1,761838,0.0
4,5,8237.21052631579,397025,0.1445231365787475
5,6,8462.809523809523,821526,0.3004419958597848
6,7,9233.52380952381,704237,0.8331078924070835
7,8,9475.0,584906,1.0
8,9,8978.666666666666,784207,0.6569677701753168
9,10,9085.125,1080138,0.7305446126200843
10,11,8867.954545454546,462598,0.5804509955453354
11,12,8865.421052631578,188119,0.5787000156414251
