Year,Close
2011,12842.817391304348
2012,12481.20564516129
2013,14806.287449392712
2014,14209.069387755102
2015,23208.22177419355
2016,28431.016260162603
2017,26816.46502057613
2018,40565.139344262294
2019,30067.5081300813
2020,38839.334677419356
2021,43270.49596774193
2022,29185.182926829268
2023,26720.44081632653
2024,34686.64344262295
2025,38769.71153846154
