,Month,Close,Volume,Close_norm
0,1,5060.9,1470678,0.0
1,2,5321.7,1781873,0.16443789729509753
2,3,5487.954545454545,6161183,0.2692636176566681
3,4,5468.7,7639114,0.257123368546552
4,5,5880.0526315789475,7215511,0.5164867189439717
5,6,6121.238095238095,9847824,0.668557388047704
6,7,6574.238095238095,14238405,0.9541799627205535
7,8,6646.909090909091,6204573,1.0
8,9,6242.380952380952,14948152,0.7449395839867062
9,10,6375.0,12702397,0.8285576719152131
10,11,6157.954545454545,11436412,0.6917076022721408
11,12,6349.789473684211,14702244,0.8126620970031307
