,Month,Close,Volume,Close_norm
0,1,12179.3,3397,0.0
1,2,12330.1,8039,0.05291363096984969
2,3,12337.09090909091,674543,0.05536664412489049
3,4,12329.4,9110,0.052668010666939
4,5,12545.421052631578,12102,0.12846680549893996
5,6,12879.857142857143,5000,0.24581579662092118
6,7,13255.57142857143,5962,0.37764873471366833
7,8,13942.545454545454,12518,0.6186984037870186
8,9,14339.619047619048,11465,0.7580260269419804
9,10,14877.0,21634,0.9465855588021387
10,11,15029.227272727272,23650,1.0
11,12,14597.263157894737,25290,0.848429776097703
