,Month,Close,Volume,Close_norm
0,1,23198.05,572692,0.0596339822795719
1,2,22949.3,883684,0.04007010651448706
2,3,22439.81818181818,867221,0.0
3,4,23337.8,745483,0.07062514464407686
4,5,24414.842105263157,1293404,0.15533315646773052
5,6,26489.285714285714,2627904,0.3184855466128222
6,7,26302.04761904762,1146779,0.30375950507019217
7,8,25724.5,1094115,0.25833610861805884
8,9,27466.14285714286,3365116,0.39531413669560783
9,10,30385.5,5301283,0.6249179174263422
10,11,34713.13636363636,7358508,0.9652810940078308
11,12,35154.57894736842,1875583,1.0
