,Month,Close,Volume,Close_norm
0,1,19769.2,233722,0.04160807295957608
1,2,19453.55,107845,0.0
2,3,19531.31818181818,106135,0.010251177516313745
3,4,20608.7,166627,0.15226854262396372
4,5,21994.78947368421,172913,0.33497886085476597
5,6,23558.904761904763,603435,0.5411560286972144
6,7,24915.238095238095,737294,0.719943978295941
7,8,23891.272727272728,478893,0.5849678156525638
8,9,25410.47619047619,528826,0.7852248362051064
9,10,26250.875,240533,0.8960037843495936
10,11,27039.81818181818,321424,1.0
11,12,25847.842105263157,268225,0.8428771501366373
